Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,wiki_description
106,Siachen Glacier Conflict,-,-,1984,Pakistan,Military Conflict,Siachen Glacier,A military conflict between India and Pakistan over the disputed Siachen Glacier region in Kashmir.,Indian & Pakistani militaries,India and Pakistan,Negative,
107,Indus Water Treaty,19,September,1960,Pakistan,International Agreement,Karachi,"A water-distribution treaty between India and Pakistan, brokered by the World Bank.",Residents of India and Pakistan,"India, Pakistan, World Bank",Positive,"The Indus Water Treaty (IWT) was a water-distribution treaty between India and Pakistan, arranged and negotiated by the World Bank, to use the water available in the Indus River and its tributaries. It was signed in Karachi on 19 September 1960 by then Indian prime minister Jawaharlal Nehru and then Pakistani president Ayub Khan. On 23 April 2025, the Government of India announced the suspension of the treaty, citing national security concerns and Pakistan’s alleged ongoing support for state-sponsored terrorism."
108,Pakistan Atomic Energy Commission Establishment,1956,-,1956,Pakistan,Scientific Organization,Islamabad,Established to oversee the nuclear energy and research projects in Pakistan.,Pakistani population,Government of Pakistan,Positive,
109,Nationalization in Pakistan,-,-,1972,Pakistan,Economic Policy,Nationwide,"The government took control of private industries, banks, and educational institutions.","Business owners, general public",Zulfikar Ali Bhutto,Mixed,"The nationalisation process in Pakistan was a policy measure programme in the economic history of Pakistan that negatively impacted the country's industrialization and undermined the trust of businessmen and investors. The process was first introduced, promulgated and implemented by Zulfikar Ali Bhutto and Pakistan Peoples Party to lay the foundation of socialist economics reforms to improve the growth of the national economy. Since the 1950s, the country had undergone a speedy industrialisation."
110,Islamabad Declaration,22,January,1980,Pakistan,International Relations,Islamabad,An Islamic summit that led to the creation of the Economic Cooperation Organization (ECO).,ECO member states,Leaders of Muslim-majority countries,Positive,
111,Motorway Network Development,-,-,1997,Pakistan,Infrastructure,Nationwide,Development of a network of motorways to improve transportation and trade.,Pakistani citizens,Government of Pakistan,Positive,
112,Women's Protection Bill,15,November,2006,Pakistan,Legislation,Islamabad,Aims to amend and strengthen laws related to women's rights and protection.,Women in Pakistan,Parliament of Pakistan,Positive,"The Women's Protection Bill which was passed by the National Assembly of Pakistan on 15 November 2006 is an attempt to amend the heavily criticised 1979 Hudood Ordinance laws which govern the punishment for rape and adultery in Pakistan. Critics of the Hudood Ordinance alleged that it made it exceptionally difficult and dangerous to prove an allegation of rape, and thousands of women had been imprisoned as a result of the bill. The bill returned a number of offences from the Zina Ordinance to the Pakistan Penal Code, where they had been before 1979, and created an entirely new set of procedures governing the prosecution of the offences of adultery and fornication."
113,Malala Yousafzai's Nobel Peace Prize,10,December,2014,Pakistan,International Recognition,"Oslo, Norway",Awarded for her struggle against the suppression of children and young people and for the right of all children to education.,Global community,"Malala Yousafzai, Kailash Satyarthi",Positive,
114,China-Pakistan Friendship Highway Completion,-,-,1986,Pakistan,Infrastructure,Khunjerab Pass to Hassan Abdal,"Part of the Karakoram Highway, symbolizing the strong bilateral relationship between China and Pakistan.","Residents, traders",Governments of China and Pakistan,Positive,
115,Benazir Income Support Programme Launch,-,-,2008,Pakistan,Social Welfare Program,Nationwide,A federal unconditional cash transfer poverty reduction program in Pakistan.,Low-income families,Government of Pakistan,Positive,
116,18th Amendment to the Constitution,19,April,2010,Pakistan,Constitutional Amendment,Islamabad,A landmark amendment that devolved significant powers from the federal government to the provinces.,Pakistani citizens,Parliament of Pakistan,Positive,
117,Pakistan's First Satellite Launch,16,July,1990,Pakistan,Space Exploration,"Xichang, China","Launch of Badr-1, Pakistan's first indigenously developed and manufactured satellite.",Pakistani scientific community,SUPARCO,Positive,
118,Protection of Women Act,29,November,2006,Pakistan,Legislation,Islamabad,Enhances legal protections for women against violence and discrimination.,Women in Pakistan,Parliament of Pakistan,Positive,
119,National Database and Registration Authority (NADRA) Establishment,1998,-,1998,Pakistan,Government Agency,Islamabad,Established to maintain a secure and efficient national identity system.,Pakistani citizens,Government of Pakistan,Positive,
120,Karachi Nuclear Power Plant Operational,1972,-,1972,Pakistan,Nuclear Energy,Karachi,Marks the beginning of nuclear energy use for peaceful purposes in Pakistan.,Pakistani population,Pakistan Atomic Energy Commission,Positive,
121,HEC Digital Library Initiative,2004,-,2004,Pakistan,Education,Nationwide,Provides students and researchers access to international scholarly literature.,"Students, researchers",Higher Education Commission of Pakistan,Positive,
122,Gwadar Port Development,22,March,2002,Pakistan,Infrastructure,Gwadar,"Development of a major deep-sea port in the Arabian Sea, aiming to enhance trade.","Pakistani economy, regional trade","Government of Pakistan, China",Positive,
123,National Action Plan Against Terrorism,24,December,2014,Pakistan,Security Policy,Nationwide,A comprehensive action plan for tackling terrorism in Pakistan following the Peshawar school massacre.,Pakistani citizens,Government of Pakistan,Positive,
124,Independence from British Rule,4,February,1948,Sri Lanka,Political,Colombo,Marked the end of British colonial rule and the beginning of self-governance.,Sri Lankan citizens,Don Stephen Senanayake,Positive,
125,Sinhala Only Act,5,June,1956,Sri Lanka,Legislation,Sri Lanka,"Made Sinhala the sole official language, exacerbating ethnic tensions.",Sinhalese and Tamil populations,Solomon Bandaranaike,Negative,"The Official Language Act , commonly referred to as the Sinhala Only Act, was an act passed in the Parliament of Ceylon in 1956. The act replaced English with Sinhala as the sole official language of Ceylon, with the exclusion of Tamil from the act."
126,1983 Black July Riots,23,July,1983,Sri Lanka,Ethnic Conflict,"Colombo, others",Triggered a civil war between the Sri Lankan government and LTTE.,"Sri Lankan Tamils, general population",Various groups and individuals,Negative,
127,Tsunami Disaster,26,December,2004,Sri Lanka,Natural Disaster,Coastal Sri Lanka,"One of the deadliest natural disasters in Sri Lanka, leading to significant loss of life and displacement.","Coastal residents, general population",-,Negative,"Tsunami Disaster can refer to:2004 Indian Ocean earthquake and tsunami
2011 Tōhoku earthquake and tsunami

."
128,End of the Civil War,18,May,2009,Sri Lanka,Military,Mullaitivu,Ended nearly three decades of conflict between the Sri Lankan government and LTTE.,"Sri Lankan citizens, especially Tamils","Mahinda Rajapaksa, Sri Lankan Armed Forces",Positive,
129,Introduction of Free Education Act,-,-,1945,Sri Lanka,Education Policy,Sri Lanka,Established free education from primary to post-graduate levels.,"Students, educators",C.W.W. Kannangara,Positive,
130,Republican Constitution of 1972,22,May,1972,Sri Lanka,Constitutional,Colombo,"Transitioned Ceylon to a republic named Sri Lanka, affirming sovereignty.",Sri Lankan citizens,Sirimavo Bandaranaike,Positive,
131,Establishment of the Mahaweli Development Project,-,-,1977,Sri Lanka,Infrastructure Development,Mahaweli River,"Aimed at irrigation and hydroelectric power generation, significantly impacting agriculture and energy supply.","Residents, farmers",Government of Sri Lanka,Positive,
132,1987 Indo-Sri Lanka Accord,29,July,1987,Sri Lanka,International Agreement,Colombo,"Aimed to resolve the civil war and ensure Tamil rights, leading to Indian Peace Keeping Force deployment.","Sri Lankan Tamils, general population","J.R. Jayewardene, Rajiv Gandhi",Mixed,
133,2002 Ceasefire Agreement with LTTE,22,February,2002,Sri Lanka,Peace Process,Nationwide,"A temporary halt in hostilities, aiming for a lasting peace solution.",Conflict-affected populations,"Ranil Wickremesinghe, LTTE",Mixed,
134,Victory over Terrorism Day,18,May,2010,Sri Lanka,Commemoration,Nationwide,Marks the end of the civil war and the defeat of LTTE.,Sri Lankan citizens,Government of Sri Lanka,Positive,
135,Establishment of the Central Bank of Sri Lanka,28,August,1950,Sri Lanka,Economic Policy,Colombo,Centralized control over monetary policy and financial system regulation.,Economic sectors,Government of Sri Lanka,Positive,
